V: 2
L: 1
X: 177
Y: 657
W: 11
H: 14
0;0;0;10
0;1;0;10
0;2;0;10
0;3;0;10
0;4;0;10
0;5;0;10
0;6;0;10
0;7;0;10
0;8;0;10
0;9;2;10
0;10;2;10
0;11;2;10
0;12;2;10
0;13;0;10
1;0;0;10
1;1;0;10
1;2;0;10
1;3;0;10
1;4;0;10
1;5;0;10
1;6;0;10
1;7;2;10
1;8;2;10
1;9;2;10
1;10;19523;10
1;11;27715;10
1;12;2;10
1;13;2;10
2;0;0;10
2;1;0;10
2;2;0;10
2;3;0;10
2;4;0;10
2;5;0;10
2;6;2;10
2;7;2;10
2;8;25667;10
2;9;3139;10
2;10;3;10
2;11;11331;10
2;12;2;10
2;13;2;10
3;0;0;10
3;1;0;10
3;2;0;10
3;3;0;10
3;4;0;10
3;5;0;10
3;6;2;10
3;7;2;10
3;8;1091;10
3;9;3;10
3;10;3;10
3;11;5187;10
3;12;2;10
3;13;0;10
4;0;0;10
4;1;0;10
4;2;0;10
4;3;0;10
4;4;0;10
4;5;0;10
4;6;4163;10
4;7;3139;10
4;8;3;10
4;9;3;10
4;10;3;10
4;11;0;10
4;12;0;10
4;13;0;10
5;0;0;10
5;1;0;10
5;2;0;10
5;3;0;10
5;4;0;10
5;5;0;10
5;6;7235;10
5;7;3;10
5;8;3;10
5;9;3;10
5;10;0;10
5;11;0;10
5;12;0;10
5;13;0;10
6;0;0;10
6;1;0;10
6;2;0;10
6;3;2;10
6;4;2;10
6;5;2;10
6;6;2;10
6;7;2115;10
6;8;3;10
6;9;0;10
6;10;0;10
6;11;0;10
6;12;0;10
6;13;0;10
7;0;0;10
7;1;0;10
7;2;2;10
7;3;2;10
7;4;2;10
7;5;2;10
7;6;2;10
7;7;0;10
7;8;0;10
7;9;0;10
7;10;0;10
7;11;0;10
7;12;0;10
7;13;0;10
8;0;0;10
8;1;2;10
8;2;2;10
8;3;2;10
8;4;2;10
8;5;2;10
8;6;0;10
8;7;0;10
8;8;0;10
8;9;0;10
8;10;0;10
8;11;0;10
8;12;0;10
8;13;0;10
9;0;2;10
9;1;2;10
9;2;2;10
9;3;2;10
9;4;2;10
9;5;0;10
9;6;0;10
9;7;0;10
9;8;0;10
9;9;0;10
9;10;0;10
9;11;0;10
9;12;0;10
9;13;0;10
10;0;2;10
10;1;2;10
10;2;2;10
10;3;2;10
10;4;0;10
10;5;0;10
10;6;0;10
10;7;0;10
10;8;0;10
10;9;0;10
10;10;0;10
10;11;0;10
10;12;0;10
10;13;0;10
