73;1;0;2;0
74;1;0;2;0
75;1;0;2;0
76;1;0;2;0
77;1;0;2;0
78;1;0;2;0
79;1;0;2;0
80;1;0;2;0
81;1;0;2;0
82;1;0;2;0
83;1;0;2;0
84;1;0;2;0
85;1;0;2;0
86;1;0;2;0
87;1;0;2;0
88;1;0;2;0
89;1;0;2;0
0;2;0;2;0
1;2;0;2;0
2;2;0;2;0
3;2;0;2;0
4;2;0;2;0
5;2;0;2;0
6;2;0;2;0
7;2;0;2;0
8;2;0;2;0
9;2;0;2;0
10;2;0;2;0
11;2;0;2;0
12;2;0;2;0
13;2;0;2;0
14;2;0;2;0
15;2;0;2;0
16;2;0;2;0
17;2;0;2;0
18;2;0;2;0
19;2;0;2;0
20;2;0;2;0
21;2;0;2;0
22;2;0;2;0
23;2;0;2;0
24;2;0;2;0
25;2;0;2;0
26;2;0;2;0
27;2;0;2;0
28;2;0;2;0
29;2;42;2;0
30;2;0;2;0
31;2;0;2;0
32;2;42;2;0
33;2;42;2;0
34;2;42;2;0
35;2;42;2;0
36;2;42;2;0
37;2;42;2;0
38;2;0;2;0
39;2;0;2;0
40;2;0;2;0
41;2;0;2;0
42;2;0;2;0
43;2;0;2;0
44;2;0;2;0
45;2;0;2;0
46;2;0;2;0
47;2;0;2;0
48;2;0;2;0
49;2;0;2;0
50;2;0;2;0
51;2;0;2;0
52;2;0;2;0
53;2;0;2;0
54;2;0;2;0
55;2;0;2;0
56;2;0;2;0
57;2;0;2;0
58;2;0;2;0
59;2;0;2;0
60;2;0;2;0
61;2;0;2;0
62;2;0;2;0
63;2;0;2;0
64;2;0;2;0
65;2;0;2;0
66;2;0;2;0
67;2;0;2;0
68;2;0;2;0
69;2;0;2;0
70;2;0;2;0
71;2;0;2;0
72;2;0;2;0
73;2;0;2;0
74;2;0;2;0
75;2;0;2;0
76;2;0;2;0
77;2;0;2;0
78;2;0;2;0
79;2;0;2;0
80;2;0;2;0
81;2;0;2;0
82;2;0;2;0
83;2;0;2;0
84;2;0;2;0
85;2;0;2;0
86;2;0;2;0
87;2;0;2;0
88;2;0;2;0
89;2;0;2;0
0;3;0;2;0
1;3;0;2;0
2;3;0;2;0
3;3;0;2;0
4;3;0;2;0
5;3;0;2;0
6;3;0;2;0
7;3;0;2;0
8;3;0;2;0
9;3;0;2;0
10;3;0;2;0
11;3;0;2;0
12;3;0;2;0
13;3;0;2;0
14;3;0;2;0
15;3;0;2;0
16;3;0;2;0
17;3;0;2;0
18;3;0;2;0
19;3;0;2;0
20;3;0;2;0
21;3;0;2;0
22;3;0;2;0
23;3;0;2;0
24;3;0;2;0
25;3;0;2;0
26;3;0;2;0
27;3;0;2;0
28;3;42;2;0
29;3;42;2;0
30;3;42;2;0
31;3;42;2;0
32;3;42;2;0
33;3;42;2;0
34;3;42;2;0
35;3;42;2;0
36;3;42;2;0
37;3;42;2;0
38;3;0;2;0
39;3;0;2;0
40;3;0;2;0
41;3;0;2;0
42;3;0;2;0
43;3;0;2;0
44;3;0;2;0
45;3;0;2;0
46;3;0;2;0
47;3;0;2;0
48;3;0;2;0
49;3;0;2;0
50;3;0;2;0
51;3;0;2;0
52;3;0;2;0
53;3;0;2;0
54;3;0;2;0
55;3;0;2;0
56;3;0;2;0
57;3;0;2;0
58;3;0;2;0
59;3;0;2;0
60;3;0;2;0
61;3;0;2;0
62;3;0;2;0
63;3;0;2;0
64;3;0;2;0
65;3;0;2;0
66;3;0;2;0
67;3;0;2;0
68;3;0;2;0
69;3;0;2;0
70;3;0;2;0
71;3;0;2;0
72;3;0;2;0
73;3;0;2;0
74;3;0;2;0
75;3;0;2;0
76;3;0;2;0
77;3;0;2;0
78;3;0;2;0
79;3;0;2;0
80;3;0;2;0
81;3;0;2;0
82;3;0;2;0
83;3;0;2;0
84;3;0;2;0
85;3;0;2;0
86;3;0;2;0
87;3;0;2;0
88;3;0;2;0
89;3;0;2;0
0;4;0;2;0
1;4;0;2;0
2;4;0;2;0
3;4;0;2;0
4;4;0;2;0
5;4;0;2;0
6;4;0;2;0
7;4;0;2;0
8;4;0;2;0
9;4;0;2;0
10;4;0;2;0
11;4;0;2;0
12;4;0;2;0
13;4;0;2;0
14;4;0;2;0
15;4;0;2;0
16;4;0;2;0
17;4;0;2;0
18;4;0;2;0
19;4;0;2;0
20;4;0;2;0
21;4;0;2;0
22;4;0;2;0
23;4;0;2;0
24;4;0;2;0
25;4;0;2;0
26;4;0;2;0
27;4;0;2;0
28;4;42;2;0
29;4;42;2;0
30;4;42;2;0
31;4;42;2;0
32;4;42;2;0
33;4;42;2;0
34;4;42;2;0
35;4;42;2;0
36;4;42;2;0
37;4;42;2;0
38;4;0;2;0
39;4;0;2;0
40;4;0;2;0
41;4;0;2;0
42;4;0;2;0
43;4;0;2;0
44;4;0;2;0
45;4;0;2;0
46;4;0;2;0
47;4;0;2;0
48;4;0;2;0
49;4;0;2;0
50;4;0;2;0
51;4;0;2;0
52;4;0;2;0
53;4;0;2;0
54;4;0;2;0
55;4;0;2;0
56;4;0;2;0
57;4;0;2;0
58;4;0;2;0
59;4;0;2;0
60;4;0;2;0
61;4;0;2;0
62;4;0;2;0
63;4;0;2;0
64;4;0;2;0
65;4;0;2;0
66;4;0;2;0
67;4;0;2;0
68;4;0;2;0
69;4;0;2;0
70;4;0;2;0
71;4;0;2;0
72;4;0;2;0
73;4;0;2;0
74;4;0;2;0
75;4;0;2;0
76;4;0;2;0
77;4;0;2;0
78;4;0;2;0
79;4;0;2;0
80;4;0;2;0
81;4;0;2;0
82;4;0;2;0
83;4;0;2;0
84;4;0;2;0
85;4;0;2;0
86;4;0;2;0
87;4;0;2;0
88;4;0;2;0
89;4;0;2;0
0;5;0;2;0
1;5;0;2;0
2;5;0;2;0
3;5;0;2;0
4;5;0;2;0
5;5;0;2;0
6;5;0;2;0
7;5;0;2;0
8;5;0;2;0
9;5;0;2;0
10;5;0;2;0
11;5;0;2;0
12;5;0;2;0
13;5;0;2;0
14;5;0;2;0
15;5;0;2;0
16;5;0;2;0
17;5;0;2;0
18;5;0;2;0
19;5;0;2;0
20;5;0;2;0
21;5;0;2;0
22;5;0;2;0
23;5;42;2;0
24;5;42;2;0
25;5;42;2;0
26;5;42;2;0
27;5;42;2;0
28;5;42;2;0
29;5;42;2;0
30;5;42;2;0
31;5;42;2;0
32;5;42;2;0
33;5;42;2;0
34;5;42;2;0
35;5;42;2;0
36;5;42;2;0
37;5;42;2;0
38;5;42;2;0
39;5;0;2;0
40;5;0;2;0
41;5;0;2;0
42;5;0;2;0
43;5;0;2;0
44;5;0;2;0
45;5;0;2;0
46;5;0;2;0
47;5;0;2;0
48;5;0;2;0
49;5;0;2;0
50;5;0;2;0
51;5;0;2;0
52;5;0;2;0
53;5;0;2;0
54;5;0;2;0
55;5;0;2;0
56;5;0;2;0
57;5;0;2;0
58;5;0;2;0
59;5;0;2;0
60;5;0;2;0
61;5;0;2;0
62;5;0;2;0
63;5;0;2;0
64;5;0;2;0
65;5;0;2;0
66;5;0;2;0
67;5;0;2;0
68;5;0;2;0
69;5;0;2;0
70;5;0;2;0
71;5;0;2;0
72;5;0;2;0
73;5;0;2;0
74;5;0;2;0
75;5;0;2;0
76;5;0;2;0
77;5;0;2;0
78;5;0;2;0
79;5;0;2;0
80;5;0;2;0
81;5;0;2;0
82;5;0;2;0
83;5;0;2;0
84;5;0;2;0
85;5;0;2;0
86;5;0;2;0
87;5;0;2;0
88;5;0;2;0
89;5;0;2;0
0;6;0;2;0
1;6;0;2;0
2;6;0;2;0
3;6;0;2;0
4;6;0;2;0
5;6;0;2;0
6;6;0;2;0
7;6;0;2;0
8;6;0;2;0
9;6;0;2;0
10;6;0;2;0
11;6;0;2;0
12;6;0;2;0
13;6;0;2;0
14;6;0;2;0
15;6;0;2;0
16;6;0;2;0
17;6;0;2;0
18;6;0;2;0
19;6;0;2;0
20;6;0;2;0
21;6;0;2;0
22;6;0;2;0
23;6;42;2;0
24;6;42;2;0
25;6;42;2;0
26;6;42;2;0
27;6;42;2;0
28;6;42;2;0
29;6;42;2;0
30;6;42;2;0
31;6;42;2;0
32;6;42;2;0
33;6;42;2;0
34;6;42;2;0
35;6;42;2;0
36;6;42;2;0
37;6;42;2;0
38;6;42;2;0
39;6;0;2;0
40;6;0;2;0
41;6;0;2;0
42;6;0;2;0
43;6;0;2;0
44;6;0;2;0
45;6;0;2;0
46;6;0;2;0
47;6;0;2;0
48;6;0;2;0
49;6;0;2;0
50;6;0;2;0
51;6;0;2;0
52;6;0;2;0
53;6;0;2;0
54;6;0;2;0
55;6;0;2;0
56;6;0;2;0
57;6;0;2;0
58;6;0;2;0
59;6;0;2;0
60;6;0;2;0
61;6;0;2;0
62;6;0;2;0
63;6;0;2;0
64;6;0;2;0
65;6;0;2;0
66;6;0;2;0
67;6;0;2;0
68;6;0;2;0
69;6;0;2;0
70;6;0;2;0
71;6;0;2;0
72;6;0;2;0
73;6;0;2;0
74;6;0;2;0
75;6;0;2;0
76;6;0;2;0
77;6;0;2;0
78;6;0;2;0
79;6;0;2;0
80;6;0;2;0
81;6;0;2;0
82;6;0;2;0
83;6;0;2;0
84;6;0;2;0
85;6;0;2;0
86;6;0;2;0
87;6;0;2;0
88;6;0;2;0
89;6;0;2;0
0;7;0;2;0
1;7;0;2;0
2;7;0;2;0
3;7;0;2;0
4;7;0;2;0
5;7;0;2;0
6;7;0;2;0
7;7;0;2;0
8;7;0;2;0
9;7;0;2;0
10;7;0;2;0
11;7;0;2;0
12;7;0;2;0
13;7;0;2;0
14;7;0;2;0
15;7;0;2;0
16;7;0;2;0
17;7;0;2;0
18;7;0;2;0
19;7;0;2;0
20;7;0;2;0
21;7;0;2;0
22;7;0;2;0
23;7;42;2;0
24;7;42;2;0
25;7;42;2;0
26;7;42;2;0
27;7;42;2;0
28;7;42;2;0
29;7;42;2;0
30;7;42;2;0
31;7;42;2;0
32;7;42;2;0
33;7;42;2;0
34;7;42;2;0
35;7;42;2;0
36;7;42;2;0
37;7;42;2;0
38;7;42;2;0
39;7;0;2;0
40;7;0;2;0
41;7;0;2;0
42;7;0;2;0
43;7;0;2;0
44;7;0;2;0
45;7;0;2;0
46;7;0;2;0
47;7;0;2;0
48;7;0;2;0
49;7;0;2;0
50;7;0;2;0
51;7;0;2;0
52;7;0;2;0
53;7;0;2;0
54;7;0;2;0
55;7;0;2;0
56;7;0;2;0
57;7;0;2;0
58;7;0;2;0
59;7;0;2;0
60;7;0;2;0
61;7;0;2;0
62;7;0;2;0
63;7;0;2;0
64;7;0;2;0
65;7;0;2;0
66;7;0;2;0
67;7;0;2;0
68;7;0;2;0
69;7;0;2;0
70;7;0;2;0
71;7;0;2;0
72;7;0;2;0
73;7;0;2;0
74;7;0;2;0
75;7;0;2;0
76;7;0;2;0
77;7;0;2;0
78;7;0;2;0
79;7;0;2;0
80;7;0;2;0
81;7;0;2;0
82;7;0;2;0
83;7;0;2;0
84;7;0;2;0
85;7;0;2;0
86;7;0;2;0
87;7;0;2;0
88;7;0;2;0
89;7;0;2;0
0;8;0;2;0
1;8;0;2;0
2;8;0;2;0
3;8;0;2;0
4;8;0;2;0
5;8;0;2;0
6;8;0;2;0
7;8;0;2;0
8;8;0;2;0
9;8;0;2;0
10;8;0;2;0
11;8;0;2;0
12;8;0;2;0
13;8;0;2;0
14;8;0;2;0
15;8;0;2;0
16;8;0;2;0
17;8;0;2;0
18;8;0;2;0
19;8;0;2;0
20;8;42;2;0
21;8;42;2;0
22;8;42;2;0
23;8;42;2;0
24;8;42;2;0
25;8;42;2;0
26;8;42;2;0
27;8;42;2;0
28;8;42;2;0
29;8;42;2;0
30;8;42;2;0
31;8;42;2;0
32;8;42;2;0
33;8;42;2;0
34;8;42;2;0
35;8;42;2;0
36;8;42;2;0
37;8;42;2;0
38;8;42;2;0
39;8;0;2;0
40;8;0;2;0
41;8;0;2;0
42;8;0;2;0
43;8;0;2;0
44;8;0;2;0
45;8;0;2;0
46;8;0;2;0
47;8;0;2;0
48;8;0;2;0
49;8;0;2;0
50;8;0;2;0
51;8;0;2;0
52;8;0;2;0
53;8;0;2;0
54;8;0;2;0
55;8;0;2;0
56;8;0;2;0
57;8;0;2;0
58;8;0;2;0
59;8;0;2;0
60;8;0;2;0
61;8;0;2;0
62;8;0;2;0
63;8;0;2;0
64;8;0;2;0
65;8;0;2;0
66;8;0;2;0
67;8;0;2;0
68;8;0;2;0
69;8;0;2;0
70;8;0;2;0
71;8;0;2;0
72;8;0;2;0
73;8;0;2;0
74;8;0;2;0
75;8;0;2;0
76;8;0;2;0
77;8;0;2;0
78;8;0;2;0
79;8;0;2;0
80;8;0;2;0
81;8;0;2;0
82;8;0;2;0
83;8;0;2;0
84;8;0;2;0
85;8;0;2;0
86;8;0;2;0
87;8;0;2;0
88;8;0;2;0
89;8;0;2;0
0;9;0;2;0
1;9;0;2;0
2;9;0;2;0
3;9;0;2;0
4;9;0;2;0
5;9;0;2;0
6;9;0;2;0
7;9;0;2;0
8;9;0;2;0
9;9;0;2;0
10;9;0;2;0
11;9;0;2;0
12;9;0;2;0
13;9;0;2;0
14;9;0;2;0
15;9;0;2;0
16;9;0;2;0
17;9;0;2;0
18;9;0;2;0
19;9;0;2;0
20;9;42;2;0
21;9;42;2;0
22;9;42;2;0
23;9;42;2;0
24;9;42;2;0
25;9;42;2;0
26;9;42;2;0
27;9;42;2;0
28;9;42;2;0
29;9;42;2;0
30;9;42;2;0
31;9;42;2;0
32;9;42;2;0
33;9;42;2;0
34;9;42;2;0
35;9;42;2;0
36;9;42;2;0
37;9;42;2;0
38;9;42;2;0
39;9;0;2;0
40;9;0;2;0
41;9;0;2;0
42;9;0;2;0
43;9;0;2;0
44;9;0;2;0
45;9;0;2;0
46;9;0;2;0
47;9;0;2;0
48;9;0;2;0
49;9;0;2;0
50;9;0;2;0
51;9;0;2;0
52;9;0;2;0
53;9;0;2;0
54;9;0;2;0
55;9;0;2;0
56;9;0;2;0
57;9;0;2;0
58;9;0;2;0
59;9;0;2;0
60;9;0;2;0
61;9;0;2;0
62;9;0;2;0
63;9;0;2;0
64;9;0;2;0
65;9;0;2;0
66;9;0;2;0
67;9;0;2;0
68;9;0;2;0
69;9;0;2;0
70;9;0;2;0
71;9;0;2;0
72;9;0;2;0
73;9;0;2;0
74;9;0;2;0
75;9;0;2;0
76;9;0;2;0
77;9;0;2;0
78;9;0;2;0
79;9;0;2;0
80;9;0;2;0
81;9;0;2;0
82;9;0;2;0
83;9;0;2;0
84;9;0;2;0
85;9;0;2;0
86;9;0;2;0
87;9;0;2;0
88;9;0;2;0
89;9;0;2;0
0;10;0;2;0
1;10;0;2;0
2;10;0;2;0
3;10;0;2;0
4;10;0;2;0
5;10;0;2;0
6;10;0;2;0
7;10;0;2;0
8;10;0;2;0
9;10;0;2;0
10;10;0;2;0
11;10;0;2;0
12;10;0;2;0
13;10;0;2;0
14;10;0;2;0
15;10;0;2;0
16;10;0;2;0
17;10;0;2;0
18;10;0;2;0
19;10;0;2;0
20;10;42;2;0
21;10;42;2;0
22;10;42;2;0
23;10;42;2;0
24;10;42;2;0
25;10;42;2;0
26;10;42;2;0
27;10;42;2;0
28;10;42;2;0
29;10;42;2;0
30;10;42;2;0
31;10;42;2;0
32;10;42;2;0
33;10;42;2;0
34;10;42;2;0
35;10;42;2;0
36;10;42;2;0
37;10;42;2;0
38;10;42;2;0
39;10;0;2;0
40;10;0;2;0
41;10;0;2;0
42;10;0;2;0
43;10;0;2;0
44;10;0;2;0
45;10;0;2;0
46;10;0;2;0
47;10;0;2;0
48;10;0;2;0
49;10;0;2;0
50;10;0;2;0
51;10;0;2;0
52;10;0;2;0
53;10;0;2;0
54;10;0;2;0
55;10;0;2;0
56;10;0;2;0
57;10;0;2;0
58;10;0;2;0
59;10;0;2;0
60;10;0;2;0
61;10;0;2;0
62;10;0;2;0
63;10;0;2;0
64;10;0;2;0
65;10;0;2;0
66;10;0;2;0
67;10;0;2;0
68;10;0;2;0
69;10;0;2;0
70;10;0;2;0
71;10;0;2;0
72;10;0;2;0
73;10;0;2;0
74;10;0;2;0
75;10;0;2;0
76;10;0;2;0
77;10;0;2;0
78;10;0;2;0
79;10;0;2;0
80;10;0;2;0
81;10;0;2;0
82;10;0;2;0
83;10;0;2;0
84;10;0;2;0
85;10;0;2;0
86;10;0;2;0
87;10;0;2;0
88;10;0;2;0
89;10;0;2;0
0;11;0;2;0
1;11;0;2;0
2;11;0;2;0
3;11;0;2;0
4;11;0;2;0
5;11;0;2;0
6;11;0;2;0
7;11;0;2;0
8;11;0;2;0
9;11;0;2;0
10;11;0;2;0
11;11;0;2;0
12;11;0;2;0
13;11;0;2;0
14;11;0;2;0
15;11;0;2;0
16;11;0;2;0
17;11;0;2;0
18;11;0;2;0
19;11;0;2;0
20;11;42;2;0
21;11;42;2;0
22;11;42;2;0
23;11;42;2;0
24;11;42;2;0
25;11;42;2;0
26;11;42;2;0
27;11;42;2;0
28;11;42;2;0
29;11;42;2;0
30;11;42;2;0
31;11;42;2;0
32;11;42;2;0
33;11;42;2;0
34;11;42;2;0
35;11;42;2;0
36;11;42;2;0
37;11;42;2;0
38;11;42;2;0
39;11;0;2;0
40;11;0;2;0
41;11;0;2;0
42;11;0;2;0
43;11;0;2;0
44;11;0;2;0
45;11;0;2;0
46;11;0;2;0
47;11;0;2;0
48;11;0;2;0
49;11;0;2;0
50;11;0;2;0
51;11;0;2;0
52;11;0;2;0
53;11;0;2;0
54;11;0;2;0
55;11;0;2;0
56;11;0;2;0
57;11;0;2;0
58;11;0;2;0
59;11;0;2;0
60;11;0;2;0
61;11;0;2;0
62;11;0;2;0
63;11;0;2;0
64;11;0;2;0
65;11;0;2;0
66;11;0;2;0
67;11;0;2;0
68;11;0;2;0
69;11;0;2;0
70;11;0;2;0
71;11;0;2;0
72;11;0;2;0
73;11;0;2;0
74;11;0;2;0
75;11;0;2;0
76;11;0;2;0
77;11;0;2;0
78;11;0;2;0
79;11;0;2;0
80;11;0;2;0
81;11;0;2;0
82;11;0;2;0
83;11;0;2;0
84;11;0;2;0
85;11;0;2;0
86;11;0;2;0
87;11;0;2;0
88;11;0;2;0
89;11;0;2;0
0;12;0;2;0
1;12;0;2;0
2;12;0;2;0
3;12;0;2;0
4;12;0;2;0
5;12;0;2;0
6;12;0;2;0
7;12;0;2;0
8;12;0;2;0
9;12;0;2;0
10;12;0;2;0
11;12;0;2;0
12;12;0;2;0
13;12;0;2;0
14;12;0;2;0
15;12;0;2;0
16;12;0;2;0
17;12;0;2;0
18;12;0;2;0
19;12;0;2;0
20;12;42;2;0
21;12;42;2;0
22;12;42;2;0
23;12;42;2;0
24;12;42;2;0
25;12;42;2;0
26;12;42;2;0
27;12;42;2;0
28;12;42;2;0
29;12;42;2;0
30;12;42;2;0
31;12;42;2;0
32;12;42;2;0
33;12;42;2;0
34;12;42;2;0
35;12;42;2;0
36;12;42;2;0
37;12;42;2;0
38;12;42;2;0
39;12;0;2;0
40;12;0;2;0
41;12;0;2;0
42;12;0;2;0
43;12;0;2;0
44;12;0;2;0
45;12;0;2;0
46;12;0;2;0
47;12;0;2;0
48;12;0;2;0
49;12;0;2;0
50;12;0;2;0
51;12;0;2;0
52;12;0;2;0
53;12;0;2;0
54;12;0;2;0
55;12;0;2;0
56;12;0;2;0
57;12;0;2;0
58;12;0;2;0
59;12;0;2;0
60;12;0;2;0
61;12;0;2;0
62;12;0;2;0
63;12;0;2;0
64;12;0;2;0
65;12;0;2;0
66;12;0;2;0
67;12;0;2;0
68;12;0;2;0
69;12;0;2;0
70;12;0;2;0
71;12;0;2;0
72;12;0;2;0
73;12;0;2;0
74;12;0;2;0
75;12;0;2;0
76;12;0;2;0
77;12;0;2;0
78;12;0;2;0
79;12;0;2;0
80;12;0;2;0
81;12;0;2;0
82;12;0;2;0
83;12;0;2;0
84;12;0;2;0
85;12;0;2;0
86;12;0;2;0
87;12;0;2;0
88;12;0;2;0
89;12;0;2;0
0;13;0;2;0
1;13;0;2;0
2;13;0;2;0
3;13;0;2;0
4;13;0;2;0
5;13;0;2;0
6;13;0;2;0
7;13;0;2;0
8;13;0;2;0
9;13;0;2;0
10;13;0;2;0
11;13;0;2;0
12;13;0;2;0
13;13;0;2;0
14;13;0;2;0
15;13;0;2;0
16;13;0;2;0
17;13;0;2;0
18;13;0;2;0
19;13;0;2;0
20;13;42;2;0
21;13;42;2;0
22;13;42;2;0
23;13;42;2;0
24;13;42;2;0
25;13;42;2;0
26;13;42;2;0
27;13;42;2;0
28;13;42;2;0
29;13;42;2;0
30;13;42;2;0
31;13;42;2;0
32;13;42;2;0
33;13;42;2;0
34;13;42;2;0
35;13;42;2;0
36;13;42;2;0
37;13;42;2;0
38;13;42;2;0
39;13;0;2;0
40;13;0;2;0
41;13;0;2;0
42;13;0;2;0
43;13;0;2;0
44;13;0;2;0
45;13;0;2;0
46;13;0;2;0
47;13;0;2;0
48;13;0;2;0
49;13;0;2;0
50;13;0;2;0
51;13;0;2;0
52;13;0;2;0
53;13;0;2;0
54;13;0;2;0
55;13;0;2;0
56;13;0;2;0
57;13;0;2;0
58;13;0;2;0
59;13;0;2;0
60;13;0;2;0
61;13;0;2;0
62;13;0;2;0
63;13;0;2;0
64;13;0;2;0
65;13;0;2;0
66;13;0;2;0
67;13;0;2;0
68;13;0;2;0
69;13;0;2;0
70;13;0;2;0
71;13;0;2;0
72;13;0;2;0
73;13;0;2;0
74;13;0;2;0
75;13;0;2;0
76;13;0;2;0
77;13;0;2;0
78;13;0;2;0
79;13;0;2;0
80;13;0;2;0
81;13;0;2;0
82;13;0;2;0
83;13;0;2;0
84;13;0;2;0
85;13;0;2;0
86;13;0;2;0
87;13;0;2;0
88;13;0;2;0
89;13;0;2;0
0;14;0;2;0
1;14;0;2;0
2;14;0;2;0
3;14;0;2;0
4;14;0;2;0
5;14;0;2;0
6;14;0;2;0
7;14;0;2;0
8;14;0;2;0
9;14;0;2;0
10;14;0;2;0
11;14;0;2;0
12;14;0;2;0
13;14;0;2;0
14;14;0;2;0
15;14;0;2;0
16;14;0;2;0
17;14;0;2;0
18;14;0;2;0
19;14;0;2;0
20;14;42;2;0
21;14;42;2;0
22;14;42;2;0
23;14;42;2;0
24;14;42;2;0
25;14;42;2;0
26;14;42;2;0
27;14;42;2;0
28;14;42;2;0
29;14;42;2;0
30;14;42;2;0
31;14;42;2;0
32;14;42;2;0
33;14;42;2;0
34;14;42;2;0
35;14;42;2;0
36;14;42;2;0
37;14;42;2;0
38;14;42;2;0
39;14;0;2;0
40;14;0;2;0
41;14;0;2;0
42;14;0;2;0
43;14;0;2;0
44;14;0;2;0
45;14;0;2;0
46;14;0;2;0
47;14;0;2;0
48;14;0;2;0
49;14;0;2;0
50;14;0;2;0
51;14;0;2;0
52;14;0;2;0
53;14;0;2;0
54;14;0;2;0
55;14;0;2;0
56;14;0;2;0
57;14;0;2;0
58;14;0;2;0
59;14;0;2;0
60;14;0;2;0
61;14;0;2;0
62;14;0;2;0
63;14;0;2;0
64;14;0;2;0
65;14;0;2;0
66;14;0;2;0
67;14;0;2;0
68;14;0;2;0
69;14;0;2;0
70;14;0;2;0
71;14;0;2;0
72;14;0;2;0
73;14;0;2;0
74;14;0;2;0
75;14;0;2;0
76;14;0;2;0
77;14;0;2;0
78;14;0;2;0
79;14;0;2;0
80;14;0;2;0
81;14;0;2;0
82;14;0;2;0
83;14;0;2;0
84;14;0;2;0
85;14;0;2;0
86;14;0;2;0
87;14;0;2;0
88;14;0;2;0
89;14;0;2;0
0;15;0;2;0
1;15;0;2;0
2;15;0;2;0
3;15;0;2;0
4;15;0;2;0
5;15;0;2;0
6;15;0;2;0
7;15;0;2;0
8;15;0;2;0
9;15;0;2;0
10;15;0;2;0
11;15;0;2;0
12;15;0;2;0
13;15;0;2;0
14;15;0;2;0
15;15;0;2;0
16;15;0;2;0
17;15;0;2;0
18;15;42;2;0
19;15;42;2;0
20;15;42;2;0
21;15;42;2;0
22;15;42;2;0
23;15;42;2;0
24;15;42;2;0
25;15;42;2;0
26;15;42;2;0
27;15;42;2;0
28;15;42;2;0
29;15;42;2;0
30;15;42;2;0
31;15;42;2;0
32;15;42;2;0
33;15;42;2;0
34;15;42;2;0
35;15;42;2;0
36;15;42;2;0
37;15;42;2;0
38;15;42;2;0
39;15;0;2;0
40;15;0;2;0
41;15;0;2;0
42;15;0;2;0
43;15;0;2;0
44;15;0;2;0
45;15;0;2;0
46;15;0;2;0
