V: 2
L: 2
X: 517
Y: 688
W: 15
H: 15
0;0;0;2
0;1;0;2
0;2;0;2
0;3;0;2
0;4;0;2
0;5;34;2
0;6;34;2
0;7;34;2
0;8;34;2
0;9;34;2
0;10;34;2
0;11;34;2
0;12;34;2
0;13;34;2
0;14;34;2
1;0;0;2
1;1;0;2
1;2;0;2
1;3;0;2
1;4;0;2
1;5;2;2
1;6;2;2
1;7;2;2
1;8;2;2
1;9;2;2
1;10;2;2
1;11;2;2
1;12;2;2
1;13;2;2
1;14;2;2
2;0;0;2
2;1;0;2
2;2;0;2
2;3;2;2
2;4;2;2
2;5;2;2
2;6;8674;2
2;7;7650;2
2;8;2;2
2;9;2;2
2;10;2;2
2;11;2;2
2;12;2;2
2;13;2;2
2;14;2;2
3;0;0;2
3;1;0;2
3;2;0;2
3;3;2;2
3;4;2;2
3;5;6626;2
3;6;15;2
3;7;15;2
3;8;2530;2
3;9;2;2
3;10;2;2
3;11;2;2
3;12;2;2
3;13;2;2
3;14;2;2
4;0;0;2
4;1;0;2
4;2;0;2
4;3;2;2
4;4;2;2
4;5;11746;2
4;6;15;2
4;7;15;2
4;8;9698;2
4;9;2;2
4;10;2;2
4;11;2;2
4;12;2;2
4;13;2;2
4;14;2;2
5;0;0;2
5;1;0;2
5;2;0;2
5;3;2;2
5;4;2;2
5;5;11746;2
5;6;15;2
5;7;15;2
5;8;9698;2
5;9;2;2
5;10;2;2
5;11;2;2
5;12;2;2
5;13;2;2
5;14;2;2
6;0;34;2
6;1;34;2
6;2;34;2
6;3;2;2
6;4;2;2
6;5;11746;2
6;6;15;2
6;7;15;2
6;8;9698;2
6;9;2;2
6;10;2;2
6;11;2;2
6;12;34;2
6;13;0;2
6;14;0;2
7;0;2;2
7;1;2;2
7;2;2;2
7;3;2;2
7;4;2;2
7;5;5602;2
7;6;15;2
7;7;15;2
7;8;1506;2
7;9;2;2
7;10;2;2
7;11;2;2
7;12;34;2
7;13;0;2
7;14;0;2
8;0;2;2
8;1;2;2
8;2;2;2
8;3;2;2
8;4;2;2
8;5;2;2
8;6;4578;2
8;7;3554;2
8;8;2;2
8;9;2;2
8;10;2;2
8;11;2;2
8;12;34;2
8;13;0;2
8;14;0;2
9;0;2;2
9;1;2;2
9;2;2;2
9;3;2;2
9;4;2;2
9;5;2;2
9;6;2;2
9;7;2;2
9;8;2;2
9;9;2;2
9;10;2;2
9;11;2;2
9;12;34;2
9;13;0;2
9;14;0;2
10;0;2;2
10;1;2;2
10;2;2;2
10;3;2;2
10;4;2;2
10;5;25671;2
10;6;10311;2
10;7;27719;2
10;8;2;2
10;9;2;2
10;10;2;2
10;11;2;2
10;12;34;2
10;13;0;2
10;14;0;2
11;0;2;2
11;1;2;2
11;2;2;2
11;3;2;2
11;4;2;2
11;5;9287;2
11;6;7;2
11;7;11335;2
11;8;2;2
11;9;2;2
11;10;2;2
11;11;2;2
11;12;34;2
11;13;0;2
11;14;0;2
12;0;2;2
12;1;2;2
12;2;2;2
12;3;2;2
12;4;2;2
12;5;26695;2
12;6;12359;2
12;7;28743;2
12;8;2;2
12;9;2;2
12;10;2;2
12;11;2;2
12;12;34;2
12;13;0;2
12;14;0;2
13;0;2;2
13;1;2;2
13;2;2;2
13;3;2;2
13;4;2;2
13;5;2;2
13;6;2;2
13;7;2;2
13;8;2;2
13;9;2;2
13;10;2;2
13;11;2;2
13;12;34;2
13;13;0;2
13;14;0;2
14;0;2;2
14;1;2;2
14;2;2;2
14;3;2;2
14;4;2;2
14;5;2;2
14;6;2;2
14;7;2;2
14;8;2;2
14;9;2;2
14;10;2;2
14;11;2;2
14;12;34;2
14;13;0;2
14;14;0;2
